Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ghana,GHA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,10.73338984,8.728459371,11.18634094,11.66619231,15.48961603,17.1499695,17.45463471,12.37192155,7.808765166,7.143640033,9.887289563,9.971088675
Gibraltar,GIB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
Guinea,GIN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,15.46198107,21.35046642,15.22510139,11.88789561,7.07202121,10.82068212,8.172116963,8.91452597,9.826001808,9.470779373,10.60186,12.59706951
Gambia,GMB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.049680759,4.795882662,4.254321998,5.699129896,5.947999357,6.808454946,7.228792721,8.034189745,6.520968239,7.115676256,5.931276366,7.370347589
Guinea-Bissau,GNB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.517851402,5.046102263,2.130545803,1.207125557,-1.509244606,1.476720489,1.503120559,1.691114618,0.381324703,0.246600268,,
Guinea Ecuatorial,GNQ,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.78916548,4.805389222,3.656620483,2.948876946,4.309998661,1.676630853,1.411939155,0.745599218,1.349884388,1.238698602,4.769704981,
Grecia,GRC,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.712989078,3.329853234,1.501526962,-0.921269454,-1.312260964,-1.735888048,-0.825653978,1.12125452,0.625621413,0.253007522,-1.247983556,1.22382501
Granada,GRD,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.436509059,3.033472803,2.41077704,-0.043999786,-0.983603056,-0.515448031,1.650389944,0.908458256,0.804102313,0.598149765,-0.740732597,1.219511939
Groenlandia,GRL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
Guatemala,GTM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.859509098,6.214123931,3.781807547,4.343371313,3.418361697,2.388720328,4.448441999,4.424536552,3.751861867,3.69998398,3.214440622,4.261051274
Guam,GUM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
Guyana,GUY,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.733377577,4.977735637,2.391935213,1.901251819,0.852630498,-1.001734328,0.836008062,1.904656155,1.282842884,2.087230892,0.993337023,5.032855746
Ingreso alto,HIC,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.961884683,3.329853234,2.59741386,1.471559406,1.033172121,0.319695857,0.443258966,1.551897512,1.831883324,1.570831757,0.537288023,2.518371096
"Hong Kong, Región Administrativa Especial",HKG,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.292890886,5.30524893,4.053909509,4.337993421,4.42364532,2.990848193,2.409307439,1.493872439,2.40613432,2.883208538,0.250962021,1.568758344
Honduras,HND,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.69889065,6.762279573,5.196186155,5.161898986,6.129249303,3.15783118,2.724612233,3.934360844,4.347349378,4.365871598,3.46841178,4.480879634
Países pobres muy endeudados (PPME),HPC,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.69889065,6.429396811,6.314744503,5.161898986,3.969860452,3.77406982,4.664662358,4.975951506,3.048914829,2.685373553,3.46841178,4.480879634
Croacia,HRV,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.030555053,2.272727273,3.412073491,2.216582064,-0.21519616,-0.464499005,-1.125,1.129372103,1.50012501,0.771820346,0.154811375,2.554506996
Haití,HTI,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.827341901,6.332794838,5.018041554,4.765024048,3.4381666,6.731840697,11.50290739,10.68008872,12.48141112,18.70378257,22.79631136,16.84152402
Hungría,HUN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.855557957,3.929920989,5.652145171,1.73319985,-0.227566271,-0.06164468,0.394769307,2.348242812,2.850247926,3.338586354,3.326743858,5.110965344
Sólo BIRF,IBD,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.332982072,5.789253288,4.495453144,4.005936136,3.589220166,3.398091947,2.351021975,3.326033925,3.198346416,2.598016203,2.472021215,4.271663815
BIRF y la AIF,IBT,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.089729895,5.796768092,5.008525463,4.341154898,3.525662038,3.15783118,2.814957914,3.337875861,3.048914829,2.610571828,2.940295143,4.261051274
total de la AIF,IDA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.976552885,6.301773934,5.478295943,4.815071521,3.516955514,2.634944021,3.104850774,3.487337227,3.008259244,2.68068279,3.46841178,4.175658036
mezcla de la AIF,IDB,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.343426576,3.953481869,3.951481266,2.486314388,0.880488876,1.01051702,1.256065101,0.901210286,2.309193962,1.989587441,1.795371471,2.271857625
Indonesia,IDN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.134204008,5.35604779,4.279499996,6.412513302,6.394925408,6.363121131,3.525805157,3.80879807,3.198346416,3.03058665,1.920968006,1.560129905
Sólo AIF,IDX,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.69889065,6.595838192,5.912006025,4.956180436,4.129243069,3.22807411,3.371530035,4.057542082,3.255194839,2.744170618,3.738118083,4.480879634
Isla de Man,IMN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
India,IND,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,11.98938992,8.911793365,9.478996914,10.01787847,6.665656719,4.906973441,4.948216341,3.328173375,3.938826467,3.729505735,6.623436776,5.131407472
No clasificado,INX,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,
Irlanda,IRL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,-0.922095829,2.557188832,1.696208973,0.508714869,0.182542317,-0.289879079,0.008306338,0.340531561,0.488370168,0.939044481,-0.334584625,2.358142962
"Irán, República Islámica del",IRN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,10.08936293,26.29338567,27.25681272,36.60303552,16.60655324,12.48468156,7.24542549,8.044924377,18.01411834,39.90734557,30.59413904,
Iraq,IRQ,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.877747253,5.801455371,6.089096416,1.879498007,2.235974079,1.393330288,0.556521397,0.184058899,0.367441489,-0.19896538,0.574162679,6.041864891
Islandia,ISL,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,5.396731132,4.001026643,5.185899888,3.872279237,2.044614815,1.633055582,1.69692762,1.760415592,2.682917683,3.013971792,2.847924015,4.444239702
Israel,ISR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,2.716640575,3.478572709,1.689481892,1.576211979,0.486495554,-0.634390651,-0.546034946,0.244953121,0.817323896,0.844128709,-0.5884303,1.492288454
Italia,ITA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.525516021,2.780632729,3.041363332,1.219993423,0.24104743,0.0387904,-0.094016657,1.226533166,1.137487636,0.611246944,-0.137707574,1.873783258
Jamaica,JAM,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,12.610552,7.555856466,6.873977087,9.341500766,8.274078862,3.691542289,2.351021975,4.37839865,3.736638822,3.905100009,5.226777793,5.862782428
Jordania,JOR,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,4.845518759,4.162441629,4.515229567,4.824623143,2.89947905,-0.87685136,-0.778430463,3.323894476,4.462311085,0.761514047,0.333294351,1.346093772
Japón,JPN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,-0.728243208,-0.272455616,-0.04406451,0.335037912,2.759226714,0.795279631,-0.127258844,0.484199796,0.989094598,0.468776159,-0.024995834,-0.233352779
Kazajstán,KAZ,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.400463567,8.424887619,5.09791485,5.846409173,6.706578291,6.665776115,14.54602379,7.440004373,6.019130966,5.245476796,6.749001838,
Kenya,KEN,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,3.961388891,14.02249396,9.377767482,5.71749357,6.878154993,6.582174403,6.297157525,8.005722791,4.689819761,5.235859994,5.404814672,6.110909164
Kirguistán,KGZ,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.967722256,16.63632627,2.768442365,6.613752024,7.534247298,6.50331839,0.388838297,3.175309864,1.542661452,1.133622577,6.325422963,11.90503982
